E: 3.191640 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.191640 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.196872 0003 0001 12249	# EV_ABS / ABS_Y                12249
E: 3.196872 0003 0018 2103	# EV_ABS / ABS_PRESSURE         2103
E: 3.196872 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.196872 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.205781 0003 0001 12252	# EV_ABS / ABS_Y                12252
E: 3.205781 0003 0018 2108	# EV_ABS / ABS_PRESSURE         2108
E: 3.205781 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.205781 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +9ms
E: 3.210876 0003 0001 12255	# EV_ABS / ABS_Y                12255
E: 3.210876 0003 0018 2112	# EV_ABS / ABS_PRESSURE         2112
E: 3.210876 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.210876 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.220894 0003 0001 12258	# EV_ABS / ABS_Y                12258
E: 3.220894 0003 0018 2116	# EV_ABS / ABS_PRESSURE         2116
E: 3.220894 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.220894 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.225790 0003 0001 12261	# EV_ABS / ABS_Y                12261
E: 3.225790 0003 0018 2120	# EV_ABS / ABS_PRESSURE         2120
E: 3.225790 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.225790 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.235806 0003 0001 12264	# EV_ABS / ABS_Y                12264
E: 3.235806 0003 0018 2123	# EV_ABS / ABS_PRESSURE         2123
E: 3.235806 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.235806 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.240875 0003 0001 12272	# EV_ABS / ABS_Y                12272
E: 3.240875 0003 0018 2127	# EV_ABS / ABS_PRESSURE         2127
E: 3.240875 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.240875 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.250638 0003 0018 2131	# EV_ABS / ABS_PRESSURE         2131
E: 3.250638 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.250638 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.255784 0003 0018 2135	# EV_ABS / ABS_PRESSURE         2135
E: 3.255784 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.255784 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.265786 0003 0001 12275	# EV_ABS / ABS_Y                12275
E: 3.265786 0003 0018 2139	# EV_ABS / ABS_PRESSURE         2139
E: 3.265786 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.265786 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.270875 0003 0001 12277	# EV_ABS / ABS_Y                12277
E: 3.270875 0003 0018 2144	# EV_ABS / ABS_PRESSURE         2144
E: 3.270875 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.270875 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.280634 0003 0001 12280	# EV_ABS / ABS_Y                12280
E: 3.280634 0003 0018 2147	# EV_ABS / ABS_PRESSURE         2147
E: 3.280634 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.280634 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.285807 0003 0001 12283	# EV_ABS / ABS_Y                12283
E: 3.285807 0003 0018 2151	# EV_ABS / ABS_PRESSURE         2151
E: 3.285807 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.285807 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.294585 0003 0018 2153	# EV_ABS / ABS_PRESSURE         2153
E: 3.294585 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.294585 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +9ms
E: 3.299839 0003 0001 12286	# EV_ABS / ABS_Y                12286
E: 3.299839 0003 0018 2155	# EV_ABS / ABS_PRESSURE         2155
E: 3.299839 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.299839 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.309863 0003 0018 2157	# EV_ABS / ABS_PRESSURE         2157
E: 3.309863 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.309863 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.314849 0003 0001 12288	# EV_ABS / ABS_Y                12288
E: 3.314849 0003 0018 2159	# EV_ABS / ABS_PRESSURE         2159
E: 3.314849 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.314849 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
E: 3.324846 0003 0001 12290	# EV_ABS / ABS_Y                12290
E: 3.324846 0003 0018 2162	# EV_ABS / ABS_PRESSURE         2162
E: 3.324846 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.324846 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +10ms
E: 3.329827 0003 0018 2165	# EV_ABS / ABS_PRESSURE         2165
E: 3.329827 0004 0000 -1630459253	# EV_MSC / MSC_SERIAL           -1630459253
E: 3.329827 0000 0000 0000	# ------------ SYN_REPORT (0) ---------- +5ms
